x,y,z
442,3267,2121
445,3262,2123
445,3262,2123
445,3262,2123
445,3262,2123
445,3262,2123
442,3262,2106
442,3262,2106
442,3262,2106
447,3265,2111
447,3265,2111
447,3243,2108
447,3243,2108
447,3243,2108
462,3251,2116
462,3251,2116
462,3251,2116
445,3256,2108
445,3256,2108
442,3256,2111
442,3256,2111
435,3253,2111
435,3253,2111
435,3253,2111
427,3256,2113
427,3256,2113
432,3253,2106
432,3253,2106
432,3253,2106
450,3253,2113
450,3253,2113
457,3265,2108
457,3265,2108
457,3265,2108
457,3265,2108
457,3265,2108
450,3253,2113
450,3253,2113
450,3253,2113
450,3253,2113
450,3253,2113
450,3253,2113
450,3248,2111
450,3248,2111
450,3248,2111
450,3248,2111
465,3243,2116
465,3243,2116
465,3243,2116
465,3243,2116
465,3243,2116
445,3256,2103
445,3256,2103
445,3256,2103
460,3243,2111
460,3243,2111
455,3253,2111
455,3253,2111
455,3253,2111
455,3253,2111
455,3253,2111
467,3246,2093
467,3246,2093
462,3251,2108
462,3251,2108
467,3243,2086
467,3243,2086
467,3243,2086
467,3243,2086
472,3241,2083
472,3241,2083
472,3241,2083
472,3241,2083
472,3241,2083
467,3233,2071
467,3233,2071
467,3233,2071
475,3248,2081
475,3248,2081
485,3251,2081
485,3251,2081
482,3248,2066
482,3248,2066
482,3248,2066
492,3262,2071
492,3262,2071
492,3260,2086
492,3260,2086
492,3260,2086
492,3260,2086
492,3260,2086
487,3246,2081
487,3246,2081
487,3246,2081
492,3260,2088
492,3260,2088
495,3256,2081
495,3256,2081
495,3256,2081
487,3262,2073
487,3262,2073
487,3262,2073
487,3262,2073
487,3260,2068
487,3260,2068
487,3260,2068
482,3280,2073
482,3280,2073
490,3265,2066
490,3265,2066
490,3265,2066
500,3277,2066
500,3277,2066
500,3277,2066
492,3272,2066
492,3272,2066
490,3272,2068
490,3272,2068
495,3262,2061
495,3262,2061
495,3262,2061
492,3277,2063
492,3277,2063
497,3272,2051
497,3272,2051
497,3272,2051
485,3277,2066
485,3277,2066
485,3277,2066
485,3277,2066
485,3277,2066
485,3277,2066
485,3277,2066
492,3290,2071
492,3290,2071
492,3290,2071
492,3290,2071
492,3290,2071
492,3290,2071
487,3293,2051
487,3293,2051
487,3293,2051
487,3293,2051
502,3290,2058
502,3290,2058
502,3290,2058
502,3290,2058
502,3290,2058
492,3303,2066
492,3303,2066
492,3303,2066
490,3306,2063
490,3306,2063
490,3306,2063
490,3306,2063
477,3311,2053
477,3311,2053
477,3311,2053
477,3311,2053
477,3311,2053
492,3316,2047
492,3316,2047
492,3316,2047
487,3311,2058
487,3311,2058
487,3321,2051
487,3321,2051
487,3321,2051
487,3321,2051
487,3321,2051
480,3311,2053
480,3311,2053
480,3311,2053
480,3311,2053
480,3311,2053
480,3311,2053
480,3311,2053
480,3311,2053
480,3311,2053
480,3311,2053
482,3330,2071
482,3330,2071
487,3345,2056
487,3345,2056
487,3345,2056
500,3330,2061
500,3330,2061
500,3330,2061
485,3330,2053
485,3330,2053
505,3335,2056
505,3335,2056
492,3342,2047
492,3342,2047
492,3342,2047
490,3361,2051
490,3361,2051
490,3352,2047
490,3352,2047
490,3352,2047
490,3352,2047
490,3352,2047
500,3355,2045
500,3355,2045
500,3355,2045
505,3352,2042
505,3352,2042
500,3352,2032
500,3352,2032
500,3352,2032
515,3366,2040
515,3366,2040
515,3366,2040
502,3368,2037
502,3368,2037
