x,y,z
1770,3788,2056
1770,3788,2056
1767,3796,2063
1767,3796,2063
1767,3796,2063
1780,3801,2066
1770,3793,2056
1770,3793,2056
1777,3798,2068
1777,3798,2068
1777,3798,2068
1777,3798,2068
1777,3798,2068
1777,3798,2068
1777,3798,2063
1777,3798,2063
1782,3798,2053
1782,3798,2053
1767,3801,2053
1767,3801,2053
1760,3796,2056
1760,3796,2056
1775,3801,2066
1775,3801,2066
1775,3801,2066
1775,3801,2066
1780,3803,2061
1785,3806,2071
1785,3806,2071
1780,3807,2061
1780,3807,2061
1780,3807,2061
1782,3798,2061
1782,3798,2061
1765,3806,2061
1772,3807,2076
1772,3807,2076
1772,3807,2076
1757,3810,2051
1757,3810,2051
1772,3798,2056
1772,3798,2056
1767,3822,2066
1767,3822,2066
1777,3803,2058
1775,3798,2066
1775,3798,2066
1787,3791,2063
1787,3791,2063
1787,3791,2063
1777,3798,2056
1777,3798,2056
1775,3793,2051
1775,3793,2051
1775,3793,2051
1765,3803,2058
1765,3803,2068
1765,3803,2068
1765,3806,2056
1765,3806,2056
1765,3806,2056
1765,3806,2056
1765,3806,2056
1765,3803,2053
1765,3803,2053
1765,3803,2053
1777,3803,2058
1777,3803,2058
1777,3803,2058
1777,3803,2058
1770,3798,2073
1770,3798,2073
1772,3807,2061
1772,3807,2061
1775,3807,2063
1775,3807,2063
1772,3801,2051
1772,3801,2051
1772,3801,2051
1772,3801,2051
1772,3801,2051
1772,3801,2051
1765,3803,2051
1765,3803,2051
1765,3796,2053
1765,3796,2053
1775,3801,2051
1775,3801,2051
1775,3801,2051
1775,3801,2051
1775,3801,2051
1775,3801,2051
1775,3801,2051
1775,3801,2051
1762,3815,2051
1762,3815,2051
1762,3815,2051
1762,3815,2051
1762,3815,2051
1762,3815,2051
1762,3815,2051
1785,3801,2053
1785,3801,2053
1782,3807,2071
1782,3807,2071
1787,3817,2058
1787,3817,2058
1787,3817,2058
1770,3803,2056
1770,3803,2056
1767,3796,2051
1767,3796,2051
1775,3807,2053
1775,3807,2053
1767,3798,2066
1767,3798,2066
1765,3791,2056
1765,3791,2056
1765,3791,2056
1765,3791,2056
1775,3810,2063
1775,3810,2063
1772,3807,2078
1772,3807,2078
1775,3806,2058
1775,3806,2058
1760,3810,2063
1760,3810,2063
1760,3810,2063
1760,3810,2063
1775,3796,2066
1775,3796,2066
1757,3793,2063
1757,3793,2063
1782,3796,2063
1782,3796,2063
1770,3810,2056
1770,3810,2056
1770,3810,2056
1765,3801,2058
1772,3806,2073
1772,3806,2073
1782,3812,2068
1782,3812,2068
1782,3812,2068
1782,3812,2068
1782,3812,2068
1782,3812,2068
1782,3812,2068
1782,3812,2068
1787,3796,2068
1777,3806,2056
1777,3806,2056
1767,3817,2056
1767,3817,2056
1780,3812,2042
1780,3812,2042
1777,3803,2061
1777,3803,2061
1760,3803,2063
1760,3803,2063
1777,3807,2051
1777,3807,2051
1787,3796,2051
1787,3796,2051
1772,3798,2051
1772,3798,2051
1772,3798,2058
1772,3798,2058
1772,3798,2058
1777,3801,2058
1777,3801,2058
1777,3801,2058
1777,3801,2058
1770,3793,2063
1770,3793,2063
1777,3798,2076
1777,3798,2076
1770,3806,2068
1770,3806,2068
1765,3798,2063
1765,3798,2063
1767,3796,2053
1767,3796,2053
1782,3793,2056
1782,3793,2056
1762,3803,2053
1762,3803,2053
1762,3806,2063
1762,3806,2063
1762,3806,2063
1762,3806,2063
1767,3807,2068
1767,3807,2068
1762,3791,2056
1762,3791,2056
1762,3786,2061
1762,3786,2061
1770,3788,2063
1770,3788,2063
1770,3788,2063
1770,3788,2063
1782,3815,2073
1790,3806,2063
1790,3806,2063
1785,3801,2066
1785,3801,2066
1765,3806,2058
1765,3806,2058
1777,3803,2051
1767,3803,2056
1767,3803,2056
1777,3806,2066
1775,3803,2071
1775,3803,2071
1795,3807,2063
1795,3807,2063
1765,3796,2058
1775,3806,2056
1775,3806,2056
1790,3801,2053
1790,3801,2053
1782,3812,2058
1775,3803,2053
1775,3803,2053
1782,3798,2056
1782,3798,2056
1782,3798,2056
1770,3801,2066
1770,3801,2066
1765,3812,2066
1765,3812,2066
1765,3812,2066
1765,3812,2066
1765,3793,2058
1780,3803,2047
1780,3803,2047
1780,3803,2047
1785,3812,2056
1785,3812,2056
1770,3812,2061
1770,3812,2061
1775,3796,2061
1775,3796,2063
1775,3796,2063
1775,3791,2073
1775,3791,2073
1775,3791,2073
1775,3796,2073
1775,3796,2073
1765,3788,2063
1765,3788,2063
1765,3788,2063
1785,3796,2047
1785,3796,2047
1775,3803,2061
1775,3803,2061
1775,3803,2061
1775,3803,2061
1775,3803,2061
1765,3803,2056
1765,3803,2056
1765,3803,2056
1770,3810,2053
1770,3810,2053
1770,3803,2056
1770,3803,2056
1762,3798,2056
1765,3810,2061
1765,3810,2061
1770,3827,2066
1770,3827,2066
1775,3820,2056
1775,3820,2056
1772,3827,2056
1772,3827,2056
1772,3827,2056
1772,3827,2056
1772,3827,2056
1755,3817,2071
1755,3817,2071
1755,3817,2071
1755,3817,2071
1755,3817,2071
1765,3840,2058
1765,3840,2058
1755,3846,2058
1755,3846,2058
1755,3846,2058
1742,3841,2058
1742,3841,2058
1750,3851,2066
1750,3851,2066
1767,3853,2056
1767,3853,2056
1767,3853,2056
1767,3853,2056
1767,3853,2056
1770,3861,2066
1770,3861,2066
1745,3848,2056
1745,3848,2056
1745,3848,2056
1745,3848,2056
1745,3848,2056
1745,3853,2063
1750,3846,2061
1750,3846,2061
1740,3841,2056
1740,3841,2056
1740,3851,2066
1730,3866,2051
1730,3866,2051
1750,3861,2058
1750,3861,2058
1750,3861,2058
1755,3851,2051
1755,3851,2051
1755,3851,2051
1755,3851,2051
1755,3851,2051
1747,3848,2063
1747,3848,2063
1747,3853,2076
1747,3853,2076
1747,3853,2076
1747,3853,2076
1747,3853,2076
1747,3853,2076
1757,3846,2063
1757,3846,2063
1757,3846,2063
